Name,Team,Age,Pos,Level,G,AVG,OBP,SLG,AB,H,B2,B3,HR,R,RBI,BB,K,SB,CS,GIDP,PO
"Aaron, Roger",SUGR,32,CF,ML,14,0.379,0.47099999999999997,0.44800000000000001,29,11,2,0,0,2,5,5,1,0,0,0,0
"Aarons, Mal",DAY,27,1B,ML,27,0.29199999999999998,0.34799999999999998,0.49099999999999999,106,31,6,0,5,14,17,9,25,0,0,4,0
"Acedo, George",AUCK,33,RF,ML,26,0.19800000000000001,0.26300000000000001,0.23100000000000001,91,18,0,0,1,11,12,8,29,0,0,2,0
"Adams, Alvin",ERIE,28,1B,ML,26,0.28399999999999997,0.33,0.43099999999999999,102,29,6,0,3,14,14,7,16,0,0,7,0
"Ahmed, Lucas",RICH,27,2B,ML,12,0.13500000000000001,0.22,0.216,37,5,3,0,0,4,1,4,9,0,0,1,0
"Alaniz, Robert",IDA,28,2B,ML,25,0.40699999999999997,0.46100000000000002,0.57999999999999996,81,33,8,0,2,18,14,8,10,0,1,2,1
"Allen, Barry",AUCK,29,1B,ML,26,0.33,0.376,0.41299999999999998,109,36,4,1,1,18,8,8,6,0,1,5,1
"Allen, Zan",OMA,28,CF,ML,26,0.314,0.433,0.69499999999999995,105,33,13,0,9,22,20,22,11,0,0,2,0
"Aly, Bryant",SF,33,LF,ML,23,0.28399999999999997,0.34599999999999997,0.311,74,21,2,0,0,8,6,7,13,0,0,1,0
"Ames, Charlie",ROCK,32,SS,ML,25,0.19800000000000001,0.26300000000000001,0.28599999999999998,91,18,2,0,2,11,6,8,18,0,0,3,0
"Anderson, Arnold",RICH,26,3B,ML,25,0.29099999999999998,0.32200000000000001,0.373,110,32,6,0,1,16,6,5,16,1,1,3,0
"Anderson, Rich",WISC,30,RF,ML,14,0.25,0.29399999999999998,0.313,16,4,1,0,0,2,1,1,4,0,0,1,0
"Angelo, Ed",DAY,26,1B,ML,9,0.27600000000000002,0.36399999999999999,0.41399999999999998,29,8,1,0,1,6,5,4,4,0,0,2,0
"Arrowsmith, Rich",IDA,32,1B,ML,5,0.23799999999999999,0.30399999999999999,0.47599999999999998,21,5,2,0,1,4,4,2,4,0,0,0,0
"Ashley, Gilbert",ROCK,30,C,ML,9,0.375,0.47399999999999998,0.56299999999999994,16,6,0,0,1,3,3,3,2,0,0,1,0
"Au, Larry",IDA,27,3B,ML,12,0.35599999999999998,0.38300000000000001,0.53300000000000003,45,16,3,1,1,10,8,2,2,0,0,4,0
"Austin, Ed",LV,32,C,ML,24,0.245,0.28299999999999997,0.41499999999999998,94,23,1,0,5,14,13,5,25,0,1,4,1
"Avans, Jeremy",OMA,32,2B,ML,8,0.28599999999999998,0.44400000000000001,0.33300000000000002,21,6,1,0,0,6,3,6,1,0,0,1,0
"Averhart, Joseph",PEOR,25,CF,ML,2,0.33300000000000002,0.33300000000000002,0.33300000000000002,3,1,0,0,0,1,1,0,1,0,0,0,0
"Bachman, Randy",MAIN,31,C,ML,15,0.28100000000000003,0.378,0.313,32,9,1,0,0,3,2,5,9,0,0,0,0
"Badman, Tracy",LV,39,SS,ML,15,0.17100000000000001,0.25600000000000001,0.34300000000000003,35,6,0,0,2,6,4,4,9,0,0,0,0
"Baker, Rube",ALTO,37,C,ML,24,0.35499999999999998,0.41699999999999998,0.46200000000000002,93,33,8,1,0,25,12,10,7,0,0,1,0
"Barnes, Clifford",RICH,27,1B,ML,14,0.625,0.625,1.375,8,5,0,0,2,3,6,0,2,0,1,0,0
"Bartley, Alton",SCRN,24,1B,ML,21,0.26,0.35699999999999998,0.38400000000000001,73,19,0,0,3,11,6,11,12,0,0,3,0
"Barton, Mathew",ELP,30,CF,ML,26,0.315,0.39600000000000002,0.39300000000000002,89,28,1,0,2,12,18,12,15,0,0,4,0
"Bazemore, Bob",LV,37,LF,ML,7,0.26300000000000001,0.36399999999999999,0.57899999999999996,19,5,0,0,2,3,8,3,6,0,0,0,0
"Because, Justin",ROCK,23,LF,ML,25,0.28399999999999997,0.36399999999999999,0.379,95,27,3,0,2,14,16,12,12,3,4,3,1
"Beckstrand, Mike",SCRN,31,1B,ML,13,0.45900000000000002,0.47399999999999998,0.67600000000000005,37,17,3,1,1,6,7,1,3,0,0,3,0
"Beeks, Harry",BANG,31,C,ML,26,0.223,0.29099999999999998,0.29799999999999999,94,21,1,0,2,9,11,9,12,0,0,2,0
"Beers, Scott",MAHO,27,CF,ML,26,0.28000000000000003,0.35699999999999998,0.45,100,28,8,0,3,20,14,12,23,0,0,3,0
"Belcher, Gene",LV,32,1B,ML,25,0.316,0.35,0.46300000000000002,95,30,11,0,1,13,15,5,21,0,0,2,0
"Benites, Deni",BANG,22,CF,ML,25,0.24199999999999999,0.29899999999999999,0.40400000000000003,99,24,4,0,4,13,14,8,19,0,0,4,0
"Bennett, Thomas",PEOR,25,SS,ML,23,0.29399999999999998,0.34100000000000003,0.45900000000000002,85,25,5,0,3,7,18,6,20,0,1,4,1
"Berkshire, Gary",LAKE,24,1B,ML,25,0.21199999999999999,0.28000000000000003,0.41199999999999998,85,18,4,2,3,14,7,8,11,0,1,6,1
"Bert, Qarl",BANG,27,C,ML,14,0.17100000000000001,0.19,0.22,41,7,0,1,0,2,1,1,8,0,0,4,0
"Bessette, Joe",PORT,31,RF,ML,24,0.27200000000000002,0.316,0.34799999999999998,92,25,4,0,1,8,7,6,17,1,2,2,0
"Bezak, Willie",LAKE,28,2B,ML,13,0.27800000000000002,0.35,0.5,18,5,1,0,1,4,7,2,0,0,0,0,0
"Bindrup, Joe",NORW,27,SS,ML,18,0.29599999999999999,0.40600000000000003,0.33300000000000002,27,8,1,0,0,4,1,5,1,0,0,1,0
"Black, Duane",ALTO,27,LF,ML,25,0.32700000000000001,0.36799999999999999,0.47299999999999998,110,36,7,0,3,19,24,7,10,6,1,2,0
"Blair, Jerry",MAIN,32,RF,ML,26,0.32700000000000001,0.36699999999999999,0.496,113,37,7,0,4,19,15,7,11,0,1,11,0
"Bloodworth, Regan",FRIS,30,CF,ML,25,0.25600000000000001,0.28699999999999998,0.28899999999999998,90,23,3,0,0,10,4,4,2,2,2,3,0
"Blue, Dawson",MIDL,24,3B,ML,25,0.30599999999999999,0.376,0.42899999999999999,98,30,2,2,2,16,13,11,18,11,2,2,0
"Boettger, Calvin",WISC,26,LF,ML,8,0.125,0.17599999999999999,0.188,16,2,1,0,0,1,0,1,1,0,0,0,0
"Bonilla, Bobby",CHES,26,RF,ML,26,0.29299999999999998,0.32700000000000001,0.45500000000000002,99,29,4,0,4,12,15,5,14,0,0,2,0
"Bothan, Beefy",AUCK,24,C,ML,24,0.32500000000000001,0.372,0.56299999999999994,80,26,4,0,5,20,12,6,11,0,0,1,0
"Bothans, Manny",NORW,24,C,ML,24,0.22500000000000001,0.32400000000000001,0.40400000000000003,89,20,7,0,3,15,14,13,25,1,0,0,0
"Boyd, Earl",AUCK,34,LF,ML,21,0.33300000000000002,0.40699999999999997,0.47199999999999998,72,24,8,1,0,10,11,9,4,0,0,1,0
"Brattain, Julius",PEOR,25,LF,ML,25,0.38,0.46200000000000002,0.47799999999999998,92,35,6,0,1,18,8,14,14,6,3,3,0
"Bride, Jose",CHES,31,LF,ML,26,0.28699999999999998,0.35,0.5,94,27,5,0,5,15,17,9,15,0,0,3,0
"Brittain, Darryl",LOUI,26,1B,ML,26,0.33300000000000002,0.38600000000000001,0.59,105,35,3,0,8,21,19,9,26,0,0,6,0
"Brock, John",LV,25,CF,ML,25,0.223,0.28399999999999997,0.31900000000000001,94,21,6,0,1,9,8,8,13,0,0,3,0
"Brosnahan, Louis",LAKE,34,LF,ML,22,0.29099999999999998,0.36399999999999999,0.39200000000000002,79,23,3,1,1,13,14,9,2,0,2,3,1
"Brown, Ed",ROME,31,LF,ML,24,0.13500000000000001,0.22,0.13500000000000001,37,5,0,0,0,3,2,4,9,0,0,2,0
"Brown, Sol",ELP,31,3B,ML,11,0.152,0.317,0.24199999999999999,33,5,0,0,1,4,2,8,5,0,0,1,0
"Bult, Warren",PORT,26,SS,ML,19,0.26300000000000001,0.3,0.26300000000000001,19,5,0,0,0,3,3,1,0,4,0,0,0
"Burgess, Mike",OMA,28,1B,ML,10,0,0.33300000000000002,0,4,0,0,0,0,0,1,2,2,0,0,0,0
"Burk, Roderick",SUGR,30,RF,ML,3,0,0.28599999999999998,0,5,0,0,0,0,2,0,2,0,0,0,0,0
"Burns, Ed",PORT,29,SS,ML,24,0.33,0.42199999999999999,0.54300000000000004,94,31,8,0,4,16,20,15,5,0,2,4,2
"Busch, Bullet Joe",MAIN,35,SS,ML,26,0.308,0.40699999999999997,0.47399999999999998,78,24,1,0,4,13,15,13,20,2,2,4,0
"Bush, Jeffrey",ALTO,27,LF,ML,17,0.158,0.30399999999999999,0.26300000000000001,19,3,2,0,0,1,1,4,6,0,0,0,0
"Byrd, Cedric",RICH,33,1B,ML,23,0.25800000000000001,0.28999999999999998,0.32600000000000001,89,23,3,0,1,7,12,4,10,0,0,5,0
"Caesar, Julius",AUCK,25,CF,ML,25,0.32300000000000001,0.376,0.54800000000000004,93,30,3,0,6,23,18,8,14,2,3,2,0
"Canada, Kendall",TEX,35,2B,ML,25,0.33600000000000002,0.38,0.35399999999999998,113,38,2,0,0,24,8,8,5,0,0,6,0
"Carrillo, Gary",BANG,27,3B,ML,20,0.30599999999999999,0.317,0.53200000000000003,62,19,5,0,3,7,14,1,10,1,1,3,1
"Carson, Douglas",ALTO,30,1B,ML,18,0.23599999999999999,0.29499999999999998,0.31900000000000001,72,17,3,0,1,8,8,6,15,0,0,3,0
"Carvalho, Jim",LOUI,27,SS,ML,15,0.38500000000000001,0.48399999999999999,1.1539999999999999,26,10,2,0,6,9,10,5,5,0,0,1,0
"Cerecedes, Damon",ROCK,27,RF,ML,25,0.317,0.39100000000000001,0.45100000000000001,82,26,2,0,3,9,14,10,8,0,0,4,0
"Chan, Clifford",LOUI,25,C,ML,22,0.28899999999999998,0.36499999999999999,0.40799999999999997,76,22,3,0,2,12,6,9,8,1,0,1,0
"Chester, Boyd",MAHO,28,CF,ML,22,0.31900000000000001,0.373,0.51100000000000001,94,30,3,0,5,17,20,8,14,0,0,4,0
"Chitwood, Kenneth",TEX,36,C,ML,10,0.28599999999999998,0.28599999999999998,0.42899999999999999,14,4,2,0,0,0,0,0,0,0,0,2,0
"Clark, Ronnie",RICH,27,C,ML,24,0.26500000000000001,0.315,0.38600000000000001,83,22,4,0,2,9,6,6,25,0,0,3,0
"Cohenour, Jeffrey",EDMO,27,SS,ML,21,0.32100000000000001,0.39,0.35799999999999998,53,17,2,0,0,7,8,6,7,5,5,3,1
"Cole, Zach",TEX,33,RF,ML,2,0,0,0,5,0,0,0,0,0,0,0,2,0,0,1,0
"Colter, Toots",MAHO,31,SS,ML,23,0.29599999999999999,0.30499999999999999,0.32100000000000001,81,24,2,0,0,13,6,1,7,0,0,0,0
"Cort, Eric",TEX,33,C,ML,24,0.32200000000000001,0.35799999999999998,0.41099999999999998,90,29,3,1,1,10,14,5,12,0,3,3,1
