Name,Team,Age,Pos,Level,G,AVG,OBP,SLG,AB,H,B2,B3,HR,R,RBI,BB,K,SB,CS,GIDP,PO
"Aaron, Roger",SUGR,32,CF,ML,150,0.34300000000000003,0.39200000000000002,0.47699999999999998,551,189,37,5,9,86,79,44,59,1,0,21,0
"Aarons, Mal",DAY,27,1B,ML,154,0.23699999999999999,0.30399999999999999,0.48699999999999999,579,137,21,2,40,97,115,56,171,0,1,16,1
"Acedo, George",AUCK,33,RF,ML,99,0.24399999999999999,0.31,0.45300000000000001,344,84,16,1,18,46,74,33,80,0,4,12,2
"Adams, Alvin",ERIE,28,1B,ML,153,0.30099999999999999,0.34599999999999997,0.496,651,196,42,8,23,118,70,45,103,0,0,17,0
"Ahmed, Lucas",RICH,27,2B,ML,66,0.26,0.31900000000000001,0.39400000000000002,104,27,6,1,2,11,10,9,16,0,0,4,0
"Alaniz, Robert",IDA,28,2B,ML,105,0.30499999999999999,0.33800000000000002,0.45900000000000002,338,103,14,1,12,45,54,17,41,0,2,14,2
"Allen, Barry",AUCK,29,1B,ML,154,0.32600000000000001,0.36799999999999999,0.40799999999999997,650,212,23,6,6,100,71,43,50,0,2,18,2
"Allen, Zan",OMA,28,CF,ML,157,0.35899999999999999,0.48399999999999999,0.65600000000000003,552,198,36,1,42,128,140,134,80,0,2,13,1
"Aly, Bryant",SF,33,LF,ML,139,0.30499999999999999,0.33800000000000002,0.436,456,139,15,3,13,68,55,23,77,0,1,8,1
"Ames, Charlie",ROCK,32,SS,ML,157,0.245,0.29699999999999999,0.38500000000000001,564,138,19,0,20,63,83,42,137,0,2,15,1
"Anderson, Arnold",RICH,26,3B,ML,155,0.30599999999999999,0.33600000000000002,0.46,618,189,37,2,18,95,84,28,91,9,6,25,1
"Anderson, Rich",WISC,30,RF,ML,136,0.30399999999999999,0.35699999999999998,0.44800000000000001,368,112,35,0,6,56,56,30,37,0,0,8,0
"Angelo, Ed",DAY,26,1B,ML,112,0.248,0.32600000000000001,0.372,258,64,15,1,5,37,27,30,38,0,0,8,0
"Arrowsmith, Rich",IDA,32,1B,ML,3,0.5,0.5,0.75,4,2,1,0,0,1,1,0,1,0,0,0,0
"Ashley, Gilbert",ROCK,30,C,ML,146,0.251,0.36399999999999999,0.41899999999999998,475,119,17,3,19,75,59,85,83,0,0,18,0
"Au, Larry",IDA,27,3B,ML,67,0.33600000000000002,0.36499999999999999,0.50600000000000001,241,81,9,1,10,39,37,11,30,0,0,9,0
"Austin, Ed",LV,32,C,ML,147,0.252,0.32700000000000001,0.45600000000000002,572,144,22,1,31,103,87,64,139,1,0,17,0
"Avans, Jeremy",OMA,32,2B,ML,110,0.308,0.377,0.44,389,120,24,3,7,71,67,43,30,0,0,14,0
"Averhart, Joseph",PEOR,25,CF,ML,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bachman, Randy",MAIN,31,C,ML,108,0.28899999999999998,0.35299999999999998,0.51100000000000001,235,68,14,1,12,35,34,23,33,0,0,7,0
"Badman, Tracy",LV,39,SS,ML,86,0.184,0.30399999999999999,0.29199999999999998,185,34,2,0,6,30,23,32,29,0,0,5,0
"Baker, Rube",ALTO,37,C,ML,157,0.31900000000000001,0.35899999999999999,0.38500000000000001,587,187,24,3,3,84,72,37,39,0,0,14,0
"Barnes, Clifford",RICH,27,1B,ML,11,0.22500000000000001,0.24399999999999999,0.5,40,9,2,3,1,6,4,1,7,0,1,1,0
"Bartley, Alton",SCRN,24,1B,ML,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Barton, Mathew",ELP,30,CF,ML,151,0.25,0.33600000000000002,0.35899999999999999,496,124,20,2,10,58,57,64,93,1,5,16,1
"Bazemore, Bob",LV,37,LF,ML,102,0.252,0.372,0.45200000000000001,325,82,17,3,14,53,58,62,53,1,0,10,0
"Because, Justin",ROCK,23,LF,ML,118,0.316,0.39200000000000002,0.41199999999999998,469,148,18,0,9,71,74,59,51,16,14,7,1
"Beckstrand, Mike",SCRN,31,1B,ML,154,0.28399999999999997,0.32500000000000001,0.45900000000000002,549,156,32,2,20,69,77,33,55,0,1,19,1
