Period,Name,Team,Age,Pos,Level,G,AVG,OBP,SLG,AB,H,B2,B3,HR,R,RBI,BB,K,SB,CS,GIDP,PO
Career,"Aaron, Roger",SUGR,32,CF,ML,1136,0.32200000000000001,0.38400000000000001,0.46899999999999997,4035,1300,265,27,91,651,569,407,427,59,36,177,8
Career,"Aarons, Mal",DAY,27,1B,ML,646,0.26500000000000001,0.32400000000000001,0.49199999999999999,2415,640,65,12,153,392,419,210,667,2,2,65,2
Career,"Acedo, George",AUCK,33,RF,ML,926,0.24399999999999999,0.30399999999999999,0.45700000000000002,3047,742,140,16,160,422,478,265,734,1,12,98,6
Career,"Adams, Alvin",ERIE,28,1B,ML,654,0.29899999999999999,0.34399999999999997,0.45700000000000002,2705,810,141,34,72,431,304,185,413,1,7,97,4
Career,"Ahmed, Lucas",RICH,27,2B,ML,78,0.22700000000000001,0.29199999999999998,0.34799999999999998,141,32,9,1,2,15,11,13,25,0,0,5,0
Career,"Alaniz, Robert",IDA,28,2B,ML,274,0.32500000000000001,0.36199999999999999,0.46100000000000002,989,321,54,6,23,146,140,58,128,1,3,41,3
Career,"Allen, Barry",AUCK,29,1B,ML,821,0.32400000000000001,0.373,0.39900000000000002,3270,1061,106,33,24,487,327,252,253,6,7,91,6
Career,"Allen, Zan",OMA,28,CF,ML,653,0.34599999999999997,0.46899999999999997,0.66900000000000004,2322,804,165,7,190,547,530,537,347,3,13,51,4
Career,"Aly, Bryant",SF,33,LF,ML,196,0.30499999999999999,0.34,0.41699999999999998,580,177,17,3,14,81,67,31,95,0,1,9,1
Career,"Ames, Charlie",ROCK,32,SS,ML,1043,0.246,0.312,0.44900000000000001,3802,937,191,20,180,532,611,364,1020,31,25,103,3
Career,"Anderson, Arnold",RICH,26,3B,ML,210,0.308,0.33800000000000002,0.45900000000000002,801,247,45,2,24,123,106,36,113,10,8,30,1
Career,"Anderson, Rich",WISC,30,RF,ML,728,0.316,0.36099999999999999,0.45300000000000001,2036,644,166,2,36,285,246,143,199,8,4,73,1
Career,"Angelo, Ed",DAY,26,1B,ML,192,0.25600000000000001,0.32700000000000001,0.375,371,95,18,1,8,53,46,39,52,0,0,12,0
Career,"Arrowsmith, Rich",IDA,32,1B,ML,786,0.27400000000000002,0.315,0.432,2965,812,165,7,97,353,462,177,470,0,5,134,5
Career,"Ashley, Gilbert",ROCK,30,C,ML,780,0.25600000000000001,0.36099999999999999,0.40100000000000002,2318,594,89,11,75,340,304,380,403,3,9,96,7
Career,"Au, Larry",IDA,27,3B,ML,217,0.29799999999999999,0.32900000000000001,0.45,822,245,39,4,26,129,108,38,84,0,0,33,0
Career,"Austin, Ed",LV,32,C,ML,489,0.247,0.32200000000000001,0.46700000000000003,1593,394,56,3,96,269,252,175,418,4,2,38,2
Career,"Avans, Jeremy",OMA,32,2B,ML,944,0.28599999999999998,0.36899999999999999,0.40899999999999997,3419,977,189,36,54,543,376,448,253,29,16,125,8
