Name,Team,Age,Pos,Level,ERA,W,L,SV,BS,G,GS,CG,SHO,IP,K,BB,H,2B,3B,HR,SB,CS,BK,WP,PO,R,ER,AVG,OBP,SLG
"Acoba, Joe",MAHO,37,P,ML,4.22,23,21,0,0,70,70,1,1,385.67,243,138,409,64,7,47,23,11,3,18,0,199,181,0.26100000000000001,0.32100000000000001,0.40100000000000002
"Acree, George",AUCK,29,P,ML,5.16,11,4,3,7,95,2,0,0,122,117,44,145,43,3,26,1,1,0,6,0,72,70,0.28399999999999997,0.34100000000000003,0.53200000000000003
"Adam, John",RICH,26,P,ML,4.45,19,6,7,0,73,28,1,1,224.67,96,99,223,58,2,30,8,2,1,12,0,122,111,0.249,0.32300000000000001,0.41799999999999998
"Adcock, Garry",CHES,27,P,ML,10.8,0,3,1,0,12,3,0,0,16.670000000000002,7,8,28,2,0,3,0,0,0,0,0,22,20,0.35899999999999999,0.41899999999999998,0.5
"Adkins, Duane",PORT,30,P,ML,3.73,17,11,15,5,121,0,0,0,273,210,70,252,56,4,28,7,5,0,18,0,128,113,0.23499999999999999,0.28199999999999997,0.373
"Alexender, Terrell",ALTO,31,P,ML,5.2,8,9,9,4,73,18,0,0,174.67,177,38,197,38,2,31,3,8,0,10,0,110,101,0.27300000000000002,0.31,0.46
"Allocco, Booker",DAY,36,P,ML,5.35,18,17,0,0,63,57,2,1,319.67,130,108,400,45,5,29,19,16,2,12,0,206,190,0.29399999999999998,0.34599999999999997,0.39900000000000002
"Alsobrook, Ernie",LOUI,32,P,ML,5.82,14,21,1,1,62,53,1,0,301.67,102,88,385,61,10,34,1,1,1,28,0,204,195,0.29799999999999999,0.34300000000000003,0.44
"Anderson, Steve",OKC,39,P,ML,7.35,7,18,0,0,52,38,0,0,226.67,95,91,369,50,2,32,13,13,1,22,0,204,185,0.35199999999999998,0.40400000000000003,0.495
"Annen, Franklin",PORT,34,P,ML,4.1500000000000004,28,17,1,0,67,66,11,6,423,179,88,480,72,6,40,22,13,4,24,0,208,195,0.27400000000000002,0.309,0.39100000000000001
"Appleby, Rene",RICH,26,P,ML,6.75,0,0,0,0,8,0,0,0,6.67,6,2,8,3,0,0,1,0,0,0,0,5,5,0.28599999999999998,0.33300000000000002,0.39300000000000002
"Armstrong, Matthew",LOUI,32,P,ML,4.66,15,7,18,2,124,0,0,0,191,122,102,216,27,7,21,5,7,2,14,0,109,99,0.27400000000000002,0.35699999999999998,0.40600000000000003
"Arteaga, Mike",OMA,31,P,ML,5.4,20,21,4,1,87,51,1,0,368.67,275,152,419,72,3,42,17,9,1,24,0,235,221,0.27500000000000002,0.34,0.40899999999999997
