Name,Team,Age,Pos,Level,ERA,W,L,SV,BS,G,GS,CG,SHO,IP,K,BB,H,2B,3B,HR,SB,CS,BK,WP,PO,R,ER,AVG,OBP,SLG
"Acoba, Joe",MAHO,37,P,ML,4,12,11,0,0,32,32,1,1,182.33,109,64,188,29,5,23,7,5,2,8,0,82,81,0.25600000000000001,0.315,0.40300000000000002
"Acree, George",AUCK,29,P,ML,5.03,5,4,1,5,55,0,0,0,59,53,26,70,20,1,11,0,1,0,2,0,35,33,0.28299999999999997,0.35199999999999998,0.50600000000000001
"Adam, John",RICH,26,P,ML,4.3099999999999996,15,4,1,0,28,23,1,1,150.33000000000001,64,68,145,39,1,20,3,1,1,8,0,74,72,0.24299999999999999,0.32100000000000001,0.41299999999999998
"Adcock, Garry",CHES,27,P,ML,9,0,1,1,0,9,0,0,0,7,4,2,11,0,0,2,0,0,0,0,0,9,7,0.34399999999999997,0.38200000000000001,0.53100000000000003
"Adkins, Duane",PORT,30,P,ML,3.41,6,4,4,1,47,0,0,0,129.33000000000001,91,33,112,29,1,11,6,5,0,4,0,58,49,0.224,0.27200000000000002,0.35199999999999998
"Alexender, Terrell",ALTO,31,P,ML,6.12,3,2,0,0,15,15,0,0,75,79,13,93,18,0,15,1,4,0,4,0,54,51,0.29199999999999998,0.32,0.49099999999999999
"Allocco, Booker",DAY,36,P,ML,5.81,6,9,0,0,25,25,1,1,128.66999999999999,44,47,172,22,1,12,6,4,0,4,0,93,83,0.308,0.36199999999999999,0.41599999999999998
"Alsobrook, Ernie",LOUI,32,P,ML,5.57,9,8,1,1,32,23,0,0,140.66999999999999,52,44,175,28,3,19,0,0,0,14,0,92,87,0.29299999999999998,0.34200000000000003,0.44600000000000001
"Anderson, Steve",OKC,39,P,ML,7.99,3,7,0,0,14,14,0,0,71,25,31,124,18,0,8,7,8,0,6,0,67,63,0.36799999999999999,0.42099999999999999,0.49299999999999999
"Annen, Franklin",PORT,34,P,ML,4.41,13,7,1,0,29,28,2,2,181.67,74,38,220,38,1,14,9,8,2,10,0,92,89,0.28799999999999998,0.32100000000000001,0.39500000000000002
"Appleby, Rene",RICH,26,P,ML,99.99,0,0,0,0,1,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,2,2,0.999,0.999,0.999
"Armstrong, Matthew",LOUI,32,P,ML,5,7,2,8,1,49,0,0,0,84.67,60,43,95,16,1,8,1,4,1,2,0,50,47,0.27200000000000002,0.35199999999999998,0.39300000000000002
"Arteaga, Mike",OMA,31,P,ML,6.72,5,7,4,1,45,18,0,0,143.33000000000001,110,61,176,29,3,23,1,2,0,4,0,116,107,0.28999999999999998,0.35499999999999998,0.46200000000000002
"Ashby, Joe",ALTO,28,P,ML,5.19,4,4,1,0,59,0,0,0,93.67,35,44,99,20,1,14,4,2,0,4,0,61,54,0.26100000000000001,0.33700000000000002,0.42899999999999999
"Atari, Martin",OKC,31,P,ML,4.76,14,15,0,0,32,32,4,2,181.33,128,60,190,29,6,27,1,0,2,8,0,104,96,0.25900000000000001,0.315,0.42499999999999999
