Last,First,Age,Pos,Team,Level,Bat,Throw,Run,Arm,IF_Rng,OF_Rng,Fld,F_P,F_C,F_1B,F_2B,F_3B,F_SS,F_LF,F_CF,F_RF,B_AB,B_H,B_B2,B_B3,B_HR,B_BB,B_SO,vL_AVG,vL_OBP,vL_SLG,vR_AVG,vR_OBP,vR_SLG,Pull,Middle,Opp,B_GB,END,P_AB,P_H,P_B2,P_B3,P_HR,P_BB,P_SO,P1,P1_Qual,P1_vL_AVG,P1_vL_OBP,P1_vL_SLG,P1_vR_AVG,P1_vR_OBP,P1_vR_SLG,P2,P2_Qual,P2_vL_AVG,P2_vL_OBP,P2_vL_SLG,P2_vR_AVG,P2_vR_OBP,P2_vR_SLG,P3,P3_Qual,P3_vL_AVG,P3_vL_OBP,P3_vL_SLG,P3_vR_AVG,P3_vR_OBP,P3_vR_SLG,P4,P4_Qual,P4_vL_AVG,P4_vL_OBP,P4_vL_SLG,P4_vR_AVG,P4_vR_OBP,P4_vR_SLG,P5,P5_Qual,P5_vL_AVG,P5_vL_OBP,P5_vL_SLG,P5_vR_AVG,P5_vR_OBP,P5_vR_SLG,P6,P6_Qual,P6_vL_AVG,P6_vL_OBP,P6_vL_SLG,P6_vR_AVG,P6_vR_OBP,P6_vR_SLG,P_GB,
Havens,Bob,25,1B,AUCK,AAA,R,R,2.07,5.64,1.73,1.18,0.989,0.00,1.00,1.00,0.00,1.00,0.00,0.00,0.00,0.00,600,168,34,1,22,47,79,0.283,0.336,0.455,0.276,0.327,0.440,0.486,0.338,0.177,0.68,2.69,84,30,8,1,5,30,6,Fastball,1.00,0.369,0.540,0.673,0.355,0.523,0.646,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,56.11,
Williams,Matt,22,C,IDA,A,R,R,1.57,8.21,1.00,0.92,0.976,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,600,139,38,5,2,29,63,0.241,0.280,0.339,0.223,0.256,0.302,0.441,0.327,0.232,0.61,2.68,84,30,8,1,5,30,6,Fastball,1.00,0.371,0.542,0.677,0.354,0.520,0.643,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,40.63,
Hensley,Howard,19,C,FA,A,R,R,2.57,4.14,2.46,2.15,0.987,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,600,138,21,3,5,47,46,0.236,0.294,0.310,0.223,0.277,0.285,0.410,0.413,0.177,0.55,1.08,84,30,8,1,5,30,6,Fastball,1.00,0.369,0.540,0.674,0.355,0.522,0.646,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,56.26,
Haug,Antoine,21,C,LOUI,AA,L,R,1.17,5.62,1.00,0.83,0.978,0.00,0.44,1.00,0.00,0.00,0.00,0.00,0.00,0.00,600,159,30,1,26,52,70,0.256,0.311,0.428,0.274,0.336,0.466,0.329,0.420,0.251,0.54,2.41,84,30,8,1,5,30,6,Fastball,1.00,0.370,0.541,0.675,0.354,0.521,0.644,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,35.94,
Lueckenhoff,Sydney,32,RF,WISC,AAA,L,L,3.02,2.76,2.31,1.89,0.995,0.00,0.00,1.00,0.00,0.00,0.00,1.00,0.00,1.00,600,160,23,7,14,77,124,0.260,0.342,0.385,0.273,0.358,0.410,0.477,0.345,0.179,0.53,1.43,84,30,8,1,5,30,6,Fastball,1.00,0.356,0.523,0.647,0.369,0.540,0.673,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,45.21,
Ryder,Jesse,29,1B,AUCK,ML,S,R,2.28,4.29,2.23,1.94,0.981,0.00,0.00,1.00,0.00,0.99,0.00,0.00,0.00,0.00,600,180,44,2,41,87,116,0.299,0.388,0.581,0.300,0.389,0.583,0.331,0.419,0.250,0.59,1.70,84,30,8,1,5,30,6,Fastball,1.00,0.368,0.539,0.672,0.356,0.523,0.647,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,37.76,
Patrick,Royce,27,RF,SCRN,AAA,R,R,2.06,6.18,1.19,0.88,0.995,0.00,0.00,1.00,0.00,0.00,0.00,1.00,0.00,1.00,600,172,36,3,20,49,60,0.293,0.349,0.470,0.282,0.334,0.447,0.427,0.370,0.203,0.53,2.82,84,30,8,1,5,30,6,Fastball,1.00,0.371,0.543,0.678,0.353,0.520,0.642,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,56.95,
Porter,Matt,20,1B,SCRN,A,L,L,2.71,5.30,1.91,1.54,0.977,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,600,173,39,4,19,86,96,0.280,0.367,0.445,0.298,0.390,0.480,0.372,0.565,0.063,0.53,2.28,84,30,8,1,5,30,6,Fastball,1.00,0.357,0.524,0.649,0.368,0.538,0.671,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,33.00,
Linsey,Wendell,24,RF,MAHO,ML,R,R,2.44,6.26,3.43,2.51,0.979,0.00,1.00,1.00,0.00,1.00,0.75,0.00,0.00,1.00,600,170,44,5,31,62,75,0.292,0.362,0.547,0.275,0.340,0.513,0.384,0.446,0.170,0.54,2.26,84,30,8,1,5,30,6,Fastball,1.00,0.371,0.543,0.678,0.353,0.520,0.642,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,57.02,
Pfeifer,John,22,2B,IDA,A,R,R,5.20,6.38,7.15,5.91,0.979,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,600,139,23,4,2,34,25,0.238,0.281,0.305,0.225,0.264,0.280,0.378,0.414,0.208,0.73,2.27,84,30,8,1,5,30,6,Fastball,1.00,0.367,0.537,0.669,0.358,0.526,0.651,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,NA,0.00,0.000,0.000,0.000,0.000,0.000,0.000,45.41,
