Name,ID,age,pos,HFA,POW,EYE,END,CTL,STF,ARM,FLD,GRADE,height,weight,pos2,throws,bats,arm_st,basespeed,hit_gb,hit_pull,hit_middle,hit_opp,hit_ab, hit_hit, hit_2b, hit_3b, hit_hr, hit_walk, hit_k,hit_avg_l,hit_avg_r,hit_obp_l,hit_obp_r,hit_slg_l,hit_slg_r,pit_gb, pit_end,pit_ab, pit_hit, pit_2b, pit_3b, pit_hr, pit_walk, pit_k,numpitches,pit1,qual_1, avg_1_l, avg_1_r, obp_1_l, obp_1_r, slg_1_l, slg_1_r,pit2,qual_2, avg_2_l, avg_2_r, obp_2_l, obp_2_r, slg_2_l, slg_2_r,pit3,qual_3, avg_3_l, avg_3_r, obp_3_l, obp_3_r, slg_3_l, slg_3_r,pit4,qual_4, avg_4_l, avg_4_r, obp_4_l, obp_4_r, slg_4_l, slg_4_r,pit5,qual_5, avg_5_l, avg_5_r, obp_5_l, obp_5_r, slg_5_l, slg_5_r,pit6,qual_6, avg_6_l, avg_6_r, obp_6_l, obp_6_r, slg_6_l, slg_6_r,of_rng, if_rng, fldper, p, c, b1, b2, b3, ss, lf, cf, rf
Matt Williams,2,22,C,39,12,50,48,10,10,90,22,72,187,C,R,R,8.21,1.57,0.61,0.44,0.33,0.23,600,139,38,5,2,29,63,0.241,0.223,0.280,0.256,0.339,0.302,0.41,2.68,84,30,8,1,5,30,6,1,Fastball,1.00,0.371,0.354,0.542,0.520,0.677,0.643,unknown,0.00,0.000,0.000,0.000,0.000,0.000,0.000,unknown,0.00,0.000,0.000,0.000,0.000,0.000,0.000,unknown,0.00,0.000,0.000,0.000,0.000,0.000,0.000,unknown,0.00,0.000,0.000,0.000,0.000,0.000,0.000,unknown,0.00,0.000,0.000,0.000,0.000,0.000,0.000,0.92,1.00,0.976,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Matt Porter,8,20,1B,83,61,71,43,10,10,79,40,70,191,1B,L,L,5.30,2.71,0.53,0.37,0.56,0.06,600,173,39,4,19,86,96,0.280,0.298,0.367,0.390,0.445,0.480,0.33,2.28,84,30,8,1,5,30,6,1,Fastball,1.00,0.357,0.368,0.524,0.538,0.649,0.671,unknown,0.00,0.000,0.000,0.000,0.000,0.000,0.000,unknown,0.00,0.000,0.000,0.000,0.000,0.000,0.000,unknown,0.00,0.000,0.000,0.000,0.000,0.000,0.000,unknown,0.00,0.000,0.000,0.000,0.000,0.000,0.000,unknown,0.00,0.000,0.000,0.000,0.000,0.000,0.000,1.54,1.91,0.977,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00
John Pfeifer,10,22,2B,55,27,90,43,10,10,63,69,74,189,2B,R,R,6.38,5.20,0.73,0.38,0.41,0.21,600,139,23,4,2,34,25,0.238,0.225,0.281,0.264,0.305,0.280,0.45,2.27,84,30,8,1,5,30,6,1,Fastball,1.00,0.367,0.358,0.537,0.526,0.669,0.651,unknown,0.00,0.000,0.000,0.000,0.000,0.000,0.000,unknown,0.00,0.000,0.000,0.000,0.000,0.000,0.000,unknown,0.00,0.000,0.000,0.000,0.000,0.000,0.000,unknown,0.00,0.000,0.000,0.000,0.000,0.000,0.000,unknown,0.00,0.000,0.000,0.000,0.000,0.000,0.000,5.91,7.15,0.979,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00
Glenn Clisham,11,18,3B,42,43,85,12,10,10,76,84,73,191,3B,R,R,7.37,5.06,0.58,0.43,0.35,0.22,600,155,23,5,3,41,52,0.266,0.250,0.315,0.295,0.343,0.312,0.33,1.08,84,30,8,1,5,30,6,1,Fastball,1.00,0.369,0.355,0.540,0.522,0.674,0.646,unknown,0.00,0.000,0.000,0.000,0.000,0.000,0.000,unknown,0.00,0.000,0.000,0.000,0.000,0.000,0.000,unknown,0.00,0.000,0.000,0.000,0.000,0.000,0.000,unknown,0.00,0.000,0.000,0.000,0.000,0.000,0.000,unknown,0.00,0.000,0.000,0.000,0.000,0.000,0.000,3.66,5.50,0.973,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00
Carl Evans,13,19,SS,39,10,93,33,10,10,91,66,75,226,SS,R,R,7.37,3.25,0.65,0.43,0.38,0.18,600,130,18,0,0,41,80,0.224,0.210,0.277,0.259,0.261,0.233,0.33,1.83,84,30,8,1,5,30,6,1,Fastball,1.00,0.367,0.357,0.537,0.525,0.669,0.650,unknown,0.00,0.000,0.000,0.000,0.000,0.000,0.000,unknown,0.00,0.000,0.000,0.000,0.000,0.000,0.000,unknown,0.00,0.000,0.000,0.000,0.000,0.000,0.000,unknown,0.00,0.000,0.000,0.000,0.000,0.000,0.000,unknown,0.00,0.000,0.000,0.000,0.000,0.000,0.000,4.67,6.09,0.976,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00
Ali Haefner,17,18,LF,10,52,45,31,10,10,88,41,75,197,LF,R,S,6.50,2.07,0.69,0.37,0.42,0.21,600,123,28,2,13,44,171,0.206,0.205,0.260,0.259,0.326,0.324,0.37,1.75,84,30,8,1,5,30,6,1,Fastball,1.00,0.368,0.357,0.538,0.524,0.671,0.649,unknown,0.00,0.000,0.000,0.000,0.000,0.000,0.000,unknown,0.00,0.000,0.000,0.000,0.000,0.000,0.000,unknown,0.00,0.000,0.000,0.000,0.000,0.000,0.000,unknown,0.00,0.000,0.000,0.000,0.000,0.000,0.000,unknown,0.00,0.000,0.000,0.000,0.000,0.000,0.000,2.29,2.10,0.995,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00
Cookie Reynolds,19,19,CF,67,48,68,41,10,10,97,51,77,216,CF,R,L,6.58,4.34,0.61,0.48,0.27,0.25,600,156,36,3,10,68,105,0.254,0.266,0.327,0.343,0.368,0.393,0.41,2.17,84,30,8,1,5,30,6,1,Fastball,1.00,0.369,0.355,0.540,0.523,0.673,0.646,unknown,0.00,0.000,0.000,0.000,0.000,0.000,0.000,unknown,0.00,0.000,0.000,0.000,0.000,0.000,0.000,unknown,0.00,0.000,0.000,0.000,0.000,0.000,0.000,unknown,0.00,0.000,0.000,0.000,0.000,0.000,0.000,unknown,0.00,0.000,0.000,0.000,0.000,0.000,0.000,5.11,4.53,0.976,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00
Willie Thompson Jr,21,19,RF,10,41,54,14,10,10,98,89,72,178,RF,R,S,8.77,6.56,0.64,0.32,0.39,0.29,600,133,29,8,14,61,69,0.223,0.219,0.295,0.291,0.365,0.362,0.43,1.16,84,30,8,1,5,30,6,1,Fastball,1.00,0.366,0.358,0.536,0.527,0.667,0.652,unknown,0.00,0.000,0.000,0.000,0.000,0.000,0.000,unknown,0.00,0.000,0.000,0.000,0.000,0.000,0.000,unknown,0.00,0.000,0.000,0.000,0.000,0.000,0.000,unknown,0.00,0.000,0.000,0.000,0.000,0.000,0.000,unknown,0.00,0.000,0.000,0.000,0.000,0.000,0.000,6.31,5.01,0.990,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00
Jordan Klinner,35,18,P,10,10,22,84,59,29,88,33,75,225,P,L,L,8.74,2.98,0.73,0.44,0.38,0.17,100,17,3,1,0,3,38,0.164,0.176,0.186,0.202,0.207,0.233,0.43,4.78,600,188,37,4,22,33,115,5,Fastball,0.33,0.280,0.295,0.313,0.332,0.457,0.486,Curve,0.15,0.303,0.318,0.337,0.356,0.480,0.510,Slider,0.12,0.319,0.333,0.352,0.371,0.496,0.525,Changeup,0.21,0.320,0.334,0.353,0.372,0.496,0.526,Forkball,0.19,0.333,0.348,0.367,0.386,0.510,0.540,unknown,0.00,0.000,0.000,0.000,0.000,0.000,0.000,3.49,2.08,0.992,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Jacob Sabedra,40,18,P,10,10,59,90,91,59,95,50,71,164,P,R,R,8.59,3.70,0.59,0.36,0.47,0.18,100,14,4,0,0,5,20,0.149,0.131,0.192,0.170,0.197,0.163,0.62,6.23,600,166,44,5,26,40,86,4,Fastball,0.33,0.261,0.247,0.309,0.291,0.488,0.460,Curve,0.16,0.284,0.270,0.332,0.313,0.511,0.482,Slider,0.23,0.292,0.278,0.339,0.321,0.518,0.490,Changeup,0.28,0.300,0.286,0.348,0.330,0.527,0.499,unknown,0.00,0.000,0.000,0.000,0.000,0.000,0.000,unknown,0.00,0.000,0.000,0.000,0.000,0.000,0.000,3.22,3.28,0.990,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
