Rank,Name,ConvName,SitePos,SiteAge,BarType,Bar1,Bar2,OVR,Arm,Run,Fielding,IFRange,OFRange,AB,H,B2,B3,HR,BB,SO,vL_OBP,vL_SLG,vR_OBP,vR_SLG,Level,Age,Pos,EligCount,MaxFieldPos,END,AB_p,H_p,B2_p,B3_p,HR_p,BB_p,SO_p,WtdOBP,WtdSLG,NumPitches,MaxQual,OBP_blend,SLG_blend,GPA,BB%,K%,ISO
1,Studley Do-Right,"Do-Right, Studley",RF,22,H,149.76,140.6,148.0,7.75,6.67,0.993,7.1,10.0,600.0,196.0,43.0,1.0,45.0,90.0,68.0,0.407,0.615,0.424,0.642,ML,22,RF,2.0,1.0,,,,,,,,,,,,,0.41975,0.6352500000000001,0.3477,0.15,0.11333333333333333,0.30858333333333343
3,Kelvin Herrmann,"Herrmann, Kelvin",RF,22,H,90.59,145.69,146.65,3.75,4.05,0.983,3.78,4.87,600.0,208.0,50.0,1.0,53.0,154.0,66.0,0.472,0.687,0.488,0.713,AAA,22,RF,3.0,1.0,,,,,,,,,,,,,0.484,0.7064999999999999,0.39442499999999997,0.25666666666666665,0.11,0.3598333333333332
5,Ron Singer,"Singer, Ron",2B,25,H,78.46,143.93,143.86,3.34,3.67,0.989,3.95,3.36,600.0,186.0,47.0,5.0,46.0,131.0,71.0,0.44,0.643,0.427,0.623,ML,25,2B,2.0,1.0,,,,,,,,,,,,,0.43024999999999997,0.628,0.3506125,0.21833333333333332,0.11833333333333333,0.318
7,L.A. Knight,"Knight, L.A.",LF,21,H,129.7,137.36,142.15,7.63,5.13,0.982,3.67,5.64,600.0,203.0,58.0,1.0,27.0,114.0,66.0,0.432,0.553,0.456,0.59,AAA,21,LF,3.0,1.0,,,,,,,,,,,,,0.45,0.58075,0.34768750000000004,0.19,0.11,0.24241666666666667
8,Dennis Manton,"Manton, Dennis",LF,25,H,118.2,141.53,141.97,5.88,4.66,0.996,3.7,4.52,600.0,177.0,44.0,5.0,43.0,124.0,72.0,0.424,0.615,0.407,0.588,ML,25,LF,2.0,1.0,,,,,,,,,,,,,0.41124999999999995,0.5947499999999999,0.33375,0.20666666666666667,0.12,0.2997499999999999
9,Chad Bowen,"Bowen, Chad",LF,20,H,54.82,141.71,135.79,4.37,1.86,0.991,1.0,0.83,600.0,182.0,33.0,3.0,49.0,116.0,96.0,0.422,0.624,0.409,0.603,AA,20,LF,1.0,1.0,,,,,,,,,,,,,0.41224999999999995,0.60825,0.33757499999999996,0.19333333333333333,0.16,0.3049166666666666
10,Antione Geary,"Geary, Antione",CF,22,H,111.61,136.99,135.38,6.55,4.38,0.98,4.8,5.54,600.0,180.0,36.0,2.0,43.0,100.0,99.0,0.412,0.602,0.388,0.565,AAA,22,CF,3.0,1.0,,,,,,,,,,,,,0.394,0.5742499999999999,0.3208625,0.16666666666666666,0.165,0.27424999999999994
11,King Clancy,"Clancy, King",3B,21,H,93.31,138.75,135.12,5.93,3.35,0.981,3.09,4.36,600.0,171.0,30.0,2.0,37.0,135.0,81.0,0.424,0.541,0.407,0.516,AA,21,3B,3.0,1.0,,,,,,,,,,,,,0.41124999999999995,0.52225,0.315625,0.225,0.135,0.23725000000000002
13,Burton Guster,"Guster, Burton",SS,23,H,150.85,120.99,130.63,6.77,9.59,0.992,10.0,8.21,600.0,181.0,35.0,3.0,22.0,98.0,90.0,0.407,0.492,0.391,0.468,AAA,23,SS,1.0,1.0,,,,,,,,,,,,,0.395,0.47400000000000003,0.29625,0.16333333333333333,0.15,0.17233333333333334
14,Johnny Danesi,"Danesi, Johnny",RF,22,H,103.25,130.33,129.48,7.12,2.78,0.975,2.67,3.54,600.0,170.0,35.0,4.0,39.0,109.0,124.0,0.393,0.551,0.394,0.552,A,22,RF,1.0,1.0,,,,,,,,,,,,,0.39375,0.5517500000000001,0.315125,0.18166666666666667,0.20666666666666667,0.26841666666666675
