Rank,Name,ConvName,SitePos,SiteAge,BarType,Bar1,Bar2,OVR,Arm,Run,Fielding,IFRange,OFRange,AB,H,B2,B3,HR,BB,SO,vL_OBP,vL_SLG,vR_OBP,vR_SLG,Level,Age,Pos,EligCount,MaxFieldPos,END,AB_p,H_p,B2_p,B3_p,HR_p,BB_p,SO_p,WtdOBP,WtdSLG,NumPitches,MaxQual,PitchGPA,K%_p,BB%_p
2,Sandy Koufax,"Koufax, Sandy",P,21,P,148.0,148.0,148.0,,,,,,,,,,,,,,,,,AA,21,P,,,8.0,600.0,130.0,15.0,2.0,9.0,59.0,251.0,0.2827999999999999,0.2860724999999999,5.0,0.34,0.19877812499999992,0.41833333333333333,0.09833333333333333
4,Oren McLaughin,"McLaughin, Oren",P,21,P,123.58,136.68,144.08,,,,,,,,,,,,,,,,,AA,21,P,,,6.68,600.0,141.0,15.0,2.0,9.0,35.0,171.0,0.2717299999999999,0.30266,4.0,0.34,0.19794349999999997,0.285,0.058333333333333334
6,Orval Overall,"Overall, Orval",P,20,P,148.0,135.81,143.21,,,,,,,,,,,,,,,,,AA,20,P,,,8.0,600.0,134.0,21.0,2.0,12.0,31.0,130.0,0.2568725,0.3206525,4.0,0.34,0.19575575,0.21666666666666667,0.051666666666666666
12,Manuel Tarbox,"Tarbox, Manuel",P,23,P,134.31,128.06,133.61,,,,,,,,,,,,,,,,,AAA,23,P,,,7.26,600.0,136.0,20.0,2.0,12.0,43.0,123.0,0.2751039603960396,0.3196534653465346,5.0,0.31,0.20371014851485147,0.205,0.07166666666666667
30,Isosceles Kramer,"Kramer, Isosceles",P,22,P,148.0,114.76,122.16,,,,,,,,,,,,,,,,,AAA,22,P,,,8.0,600.0,140.0,24.0,3.0,14.0,52.0,129.0,0.2912475,0.3446925,4.0,0.35,0.2172345,0.215,0.08666666666666667
32,Nicholas Theodorou,"Theodorou, Nicholas",P,24,P,101.56,117.55,121.25,,,,,,,,,,,,,,,,,AAA,24,P,,,5.49,600.0,140.0,24.0,3.0,14.0,40.0,124.0,0.27659,0.34598,4.0,0.35,0.2109605,0.20666666666666667,0.06666666666666667
46,Nacho Alvarez,"Alvarez, Nacho",P,23,P,73.26,120.75,117.27,,,,,,,,,,,,,,,,,AAA,23,P,,,3.96,600.0,126.0,25.0,3.0,14.0,68.0,211.0,0.2842,0.32345,2.0,0.7,0.2087525,0.3516666666666667,0.11333333333333333
52,Wendell Sanders,"Sanders, Wendell",P,24,P,121.92,112.74,116.44,,,,,,,,,,,,,,,,,AAA,24,P,,,6.59,600.0,142.0,20.0,2.0,11.0,55.0,115.0,0.3049575,0.3398299999999999,3.0,0.51,0.222188375,0.19166666666666668,0.09166666666666666
53,Buck Scurvy,"Scurvy, Buck",P,21,P,148.0,109.35,115.83,,,,,,,,,,,,,,,,,AA,21,P,,,8.0,600.0,143.0,27.0,3.0,16.0,46.0,177.0,0.28624,0.3621575,4.0,0.31,0.219347375,0.295,0.07666666666666666
58,Hubert Rose,"Rose, Hubert",P,18,P,69.19,113.46,115.31,,,,,,,,,,,,,,,,,A,18,P,,,3.74,600.0,139.0,22.0,2.0,13.0,48.0,230.0,0.29465,0.3478975,3.0,0.4,0.219566875,0.38333333333333336,0.08
